,story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word,is_word,task,session
198,lw1,0.0,0.0,word,11.889999,stimuli/audio/lw1_0.wav,35.396,0.1100000000000012,2000-01-01 00:00:00+00:00,,2.0,sentence,0.0,145.0,Allison,1.0,A,True,0,0
878,lw1,0.0,1.0,word,0.65,stimuli/audio/lw1_1.wav,127.835,0.0899999999999999,2000-01-01 00:00:00+00:00,,14.0,sentence,3.0,145.0,Allison,1.0,I,True,0,0
1035,lw1,0.0,1.0,word,14.95,stimuli/audio/lw1_1.wav,142.135,0.0899999999999998,2000-01-01 00:00:00+00:00,,16.0,sentence,12.0,145.0,Allison,1.0,a,True,0,0
1204,lw1,0.0,1.0,word,33.67,stimuli/audio/lw1_1.wav,160.855,0.0899999999999963,2000-01-01 00:00:00+00:00,,19.0,sentence,6.0,145.0,Allison,1.0,a,True,0,0
1826,lw1,0.0,2.0,word,29.74,stimuli/audio/lw1_2.wav,239.788,0.0700000000000002,2000-01-01 00:00:00+00:00,,33.0,sentence,3.0,145.0,Allison,1.0,a,True,0,0
2331,lw1,0.0,2.0,word,79.29,stimuli/audio/lw1_2.wav,289.338,0.059999999999988,2000-01-01 00:00:00+00:00,,40.0,sentence,18.0,145.0,Allison,1.0,a,True,0,0
2456,lw1,0.0,2.0,word,88.07,stimuli/audio/lw1_2.wav,298.118,0.0800000000000125,2000-01-01 00:00:00+00:00,,41.0,sentence,8.0,205.0,Allison,1.0,a,True,0,0
2626,lw1,0.0,3.0,word,6.08,stimuli/audio/lw1_3.wav,317.107,0.0700000000000002,2000-01-01 00:00:00+00:00,,43.0,sentence,7.0,205.0,Allison,1.0,a,True,0,0
2653,lw1,0.0,3.0,word,7.73,stimuli/audio/lw1_3.wav,318.757,0.0499999999999998,2000-01-01 00:00:00+00:00,,43.0,sentence,12.0,205.0,Allison,1.0,a,True,0,0
2821,lw1,0.0,3.0,word,19.98,stimuli/audio/lw1_3.wav,331.007,0.0599999999999987,2000-01-01 00:00:00+00:00,,46.0,sentence,15.0,205.0,Allison,1.0,a,True,0,0
2842,lw1,0.0,3.0,word,21.02,stimuli/audio/lw1_3.wav,332.047,0.0399999999999991,2000-01-01 00:00:00+00:00,,46.0,sentence,20.0,205.0,Allison,1.0,a,True,0,0
2883,lw1,0.0,3.0,word,31.929999,stimuli/audio/lw1_3.wav,342.957,0.0700000000000002,2000-01-01 00:00:00+00:00,,49.0,sentence,16.0,205.0,Allison,1.0,a,True,0,0
3089,lw1,0.0,3.0,word,49.0,stimuli/audio/lw1_3.wav,360.027,0.0700000000000002,2000-01-01 00:00:00+00:00,,52.0,sentence,9.0,205.0,Allison,1.0,a,True,0,0
